1586,589
1513,591
1443,597
1381,619
1333,645
1305,669
1305,690
1316,713
1374,721
1417,732
1459,721
1467,794
1552,769
1609,709
1662,808
1689,800
1701,780
1691,786
1682,767
1662,789
1612,791
1533,675
1387,755
1284,722
1166,714
1070,687
1007,664
941,630
888,602
891,567
873,546
824,513
821,496
839,477
872,457
926,434
985,410
1062,388
1107,342
1138,341
1122,375
1169,396
1253,426
1312,440
1428,463
1494,465
1543,477
1572,488
1588,492
1605,495
1597,510
1572,528
1507,547
1433,561
1315,576
1204,583
1104,596
1003,616
919,637
850,649
795,668
760,684
734,713
727,731
732,747
756,764
790,785
841,803
901,826
978,847
1124,829
1226,828
1300,905
1403,829
1403,956
1450,932
1492,905
1535,862
1603,867
1651,850
1693,826
1713,818
1716,815
1702,812
1680,788
1626,778
1476,731
1388,728
1269,701
1184,663
1100,638
1013,613
940,598
869,581
827,560
801,539
792,515
795,489
811,468
848,450
894,428
955,408
1028,383
1113,363
1198,350
1247,343
1305,329
1356,355
1414,377
1496,402
1542,432
1581,452
1599,484
1616,498
1615,510
1601,534
1566,554
1497,580
1416,589
1300,606
1171,630
1070,648
985,634
899,674
834,691
787,712
745,739
719,785
709,795
731,794
758,810
797,836
852,854
927,867
1010,892
1108,922
1220,936
1291,955
1353,989
1393,954
1439,950
1489,928
1527,895
1600,880
1648,862
1687,849
1710,840
1705,822
1698,798
1656,782
1603,764
1495,732
1356,702
1245,689
1137,668
1043,656
951,620
876,598
812,576
771,550
746,531
739,491
744,469
753,443
771,422
815,405
870,386
966,405
1061,388
1163,340
1213,325
1236,334
1299,375
1333,404
1375,423
1419,446
1479,474
1512,475
1556,483
1589,486
1601,492
1603,503
1574,519
1522,538
1450,555
1350,570
1219,587
1135,607
1043,610
957,614
888,625
844,628
803,651
784,668
785,679
798,685
813,709
858,721
909,743
971,768
1061,786
1148,801
1231,837
1266,859
1269,939
1296,918
1326,906
1395,821
1439,842
1510,821
1560,825
1582,834
1674,798
1702,782
1761,735
1737,731
1749,682
1708,642
1543,661
1462,645
1349,619
1251,574
1140,562
1020,546
929,511
907,475
890,451
859,427
855,400
839,378
850,361
876,346
923,323
980,330
1038,283
1119,267
1197,259
1253,294
1321,361
1366,390
1429,426
1493,479
1513,434
1554,452
1595,447
1610,462
1608,487
1604,477
1579,486
1529,499
1436,528
1338,547
1229,561
1126,572
1037,594
966,605
903,624
859,641
818,667
807,685
811,722
875,669
873,730
915,752
975,765
1054,784
1134,805
1225,816
1300,841
1379,878
1397,876
1446,872
1498,866
1567,849
1621,831
1667,814
1743,803
1756,791
1761,769
1706,748
1641,716
1598,714
1513,698
1379,666
1254,653
1144,630
1021,599
919,563
860,541
802,558
755,549
731,537
704,512
676,491
710,496
730,484
730,436
773,425
831,410
904,393
990,378
1075,371
1101,385
1134,388
1189,406
1240,406
1307,425
1367,441
1447,452
1532,459
1581,476
1619,491
1557,551
1572,564
1620,549
1585,575
1512,600
1406,615
1273,633
1125,649
982,690
874,665
750,665
644,693
549,713
476,723
412,743
353,769
326,771
302,799
305,814
315,838
355,846
407,857
466,873
539,893
630,907
727,925
833,948
1092,979
1191,1022
1259,1020
1319,970
1389,946
1454,953
1513,905
1594,891
1651,870
1690,843
1726,813
1738,793
1705,763
1604,729
1544,714
1443,701
1333,688
1179,669
1071,668
934,656
798,613
700,590
839,591
547,541
856,587
398,489
380,485
341,503
367,472
365,442
384,414
423,394
475,370
541,358
620,337
710,325
815,309
935,292
1006,313
1035,337
1071,375
1124,397
1122,395
1189,410
1228,460
1314,485
1452,499
1458,510
1492,515
1512,521
1534,522
1514,530
1430,539
1378,544
1284,567
1165,584
1033,600
910,615
792,639
709,625
623,630
545,648
486,663
437,684
408,701
389,729
391,750
407,767
446,765
491,786
550,828
628,835
720,858
827,867
972,875
1101,886
1191,916
1261,836
1281,827
1327,814
1357,807
1371,801
1417,786
1461,766
1524,862
